1779135503,SOLUSDT,SELL,15.03,86.27,trend_scalper,Stop loss -1.95%,executed,0.1741958
1779135513,SOLUSDT,BUY,15.0,84.61,trend_scalper,Trend buy rsi=51.5 ema20>ema50,executed,0.17728401
1779135533,ETHUSDT,SELL,15.23,2192.27,trend_scalper,Profit target +3.17%,executed,0.00694734
1779135553,ETHUSDT,BUY,15.0,2215.99,trend_scalper,Trend buy rsi=49.9 ema20>ema50,executed,0.00676898
1779135573,SOLUSDT,SELL,15.54,87.67,trend_scalper,Profit target +7.33%,executed,0.17728401
1779135593,SOLUSDT,BUY,15.0,86.24,trend_scalper,Trend buy rsi=54.1 ema20>ema50,executed,0.17393321
1779135613,ETHUSDT,SELL,15.04,2221.33,trend_scalper,Stop loss -1.74%,executed,0.00676898
1779135623,ETHUSDT,BUY,15.0,2186.97,trend_scalper,Trend buy rsi=49.4 ema20>ema50,executed,0.0068588
1779135654,SOLUSDT,SELL,14.72,84.61,trend_scalper,Profit target +5.16%,executed,0.17393321
1779135664,SOLUSDT,BUY,15.0,87.5,trend_scalper,Trend buy rsi=60.7 ema20>ema50,executed,0.17142857
1779135694,ETHUSDT,SELL,15.37,2241.64,trend_scalper,Stop loss -0.81%,executed,0.0068588
1779135724,SOLUSDT,SELL,14.78,86.24,trend_scalper,Stop loss -6.18%,executed,0.17142857
1779135734,BTCUSDT,BUY,10.0,77901.52,trend_scalper,Manual BUY,executed,0.00012837
1779135734,SOLUSDT,BUY,15.0,84.48,trend_scalper,Trend buy rsi=56.4 ema20>ema50,executed,0.17755682
1779135767,ETHUSDT,BUY,7.1,2170.11,trend_scalper,AUTO ALL-IN ENTRY,executed,0.00327172
1779135794,SOLUSDT,SELL,15.26,85.95,trend_scalper,Stop loss -4.36%,executed,0.17755682
1779135814,SOLUSDT,BUY,15.0,84.81,trend_scalper,Trend buy rsi=46.8 ema20>ema50,executed,0.17686594
1779135827,ETHUSDT,SELL,7.22,2206.84,trend_scalper,AUTO TAKE PROFIT +0.8%,executed,0.00327172
1779135884,SOLUSDT,SELL,14.95,84.52,trend_scalper,Stop loss -2.41%,executed,0.17686594
1779135887,ETHUSDT,BUY,7.22,2231.16,trend_scalper,AUTO ALL-IN ENTRY,executed,0.00323598
1779135887,SOLUSDT,SELL,15.35,86.46,trend_scalper,AUTO TAKE PROFIT +0.8%,executed,0.17755682
1779135904,ETHUSDT,BUY,15.0,2160.08,trend_scalper,Trend buy rsi=55.8 ema20>ema50,executed,0.00694419
1779135948,ETHUSDT,SELL,7.09,2192.25,trend_scalper,AUTO STOP LOSS -0.6%,executed,0.00323598
1779135948,SOLUSDT,BUY,22.44,86.19,trend_scalper,AUTO ALL-IN ENTRY,executed,0.26035503
1779135960,ETHUSDT,SELL,15.02,2162.79,trend_scalper,AUTO TAKE PROFIT +0.8%,executed,0.00694419
1779135960,SOLUSDT,BUY,22.33,86.68,trend_scalper,AUTO ALL-IN ENTRY,executed,0.25761421
1779135964,ETHUSDT,SELL,15.5,2232.57,trend_scalper,Profit target +4.82%,executed,0.00694419
1779135994,ETHUSDT,BUY,15.0,2176.01,trend_scalper,Trend buy rsi=56.8 ema20>ema50,executed,0.00689335
1779136054,BTCUSDT,BUY,7.81,76893.84,trend_scalper,Manual BUY,executed,0.00010157
1779136054,ETHUSDT,SELL,14.95,2168.19,trend_scalper,Profit target +8.82%,executed,0.00689335
1779136064,ETHUSDT,BUY,14.95,2243.91,trend_scalper,Trend buy rsi=52.1 ema20>ema50,executed,0.00666248
1779136080,SOLUSDT,SELL,22.01,85.44,trend_scalper,AUTO STOP LOSS -0.6%,executed,0.25761421
1779136124,ETHUSDT,SELL,14.52,2179.42,trend_scalper,Stop loss -1.34%,executed,0.00666248
1779136124,SOLUSDT,BUY,14.52,86.2,trend_scalper,Trend buy rsi=53.1 ema20>ema50,executed,0.16844548
